tipo_dado,metrica,valor,nc,epochs,seed
real+synthetic,MAPE,39.445313811302185,22,150,726
real,R²,0.567763090133667,22,100,752
real,MAE,1059.4686279296875,22,100,752
real,RMSE,1388.7662690316179,22,100,752
real,MAPE,37.73723542690277,22,100,752
synthetic,R²,0.22180253267288208,22,100,752
synthetic,MAE,1467.0736083984375,22,100,752
synthetic,RMSE,1863.4302374921365,22,100,752
synthetic,MAPE,38.018423318862915,22,100,752
real+synthetic,R²,0.5689398050308228,22,100,752
real+synthetic,MAE,1132.1435546875,22,100,752
real+synthetic,RMSE,1386.8745437133093,22,100,752
real+synthetic,MAPE,32.68980383872986,22,100,752
real,R²,0.3738745450973511,22,150,752
real,MAE,1252.3583984375,22,150,752
real,RMSE,1671.471208247393,22,150,752
real,MAPE,45.00039219856262,22,150,752
