od,hora_do_dia,dia_da_semana,n_viagens
alphabet city-flatiron,11,0,1
alphabet city-flatiron,0,1,1
alphabet city-flatiron,1,1,1
alphabet city-flatiron,6,1,1
alphabet city-flatiron,8,1,4
alphabet city-flatiron,9,1,1
alphabet city-flatiron,11,1,1
alphabet city-flatiron,19,1,1
alphabet city-flatiron,21,1,1
alphabet city-flatiron,22,1,2
alphabet city-flatiron,23,1,1
alphabet city-flatiron,7,2,1
alphabet city-flatiron,8,2,1
alphabet city-flatiron,13,2,1
alphabet city-flatiron,14,2,2
alphabet city-flatiron,22,2,1
alphabet city-flatiron,23,2,1
alphabet city-flatiron,8,3,1
alphabet city-flatiron,9,3,1
alphabet city-flatiron,20,3,1
alphabet city-flatiron,21,3,1
alphabet city-flatiron,22,3,2
alphabet city-flatiron,0,4,2
alphabet city-flatiron,1,4,1
alphabet city-flatiron,2,4,1
alphabet city-flatiron,3,4,1
alphabet city-flatiron,6,4,1
alphabet city-flatiron,8,4,1
alphabet city-flatiron,11,4,1
alphabet city-flatiron,14,4,1
alphabet city-flatiron,22,4,3
alphabet city-flatiron,23,4,2
alphabet city-flatiron,0,5,3
alphabet city-flatiron,1,5,6
alphabet city-flatiron,2,5,2
alphabet city-flatiron,3,5,2
alphabet city-flatiron,8,5,1
alphabet city-flatiron,11,5,1
alphabet city-flatiron,14,5,2
alphabet city-flatiron,15,5,1
alphabet city-flatiron,16,5,1
alphabet city-flatiron,21,5,3
alphabet city-flatiron,22,5,3
alphabet city-fort greene,22,1,1
alphabet city-fort greene,13,2,1
alphabet city-fort greene,2,4,1
alphabet city-fort greene,22,4,1
alphabet city-fort greene,23,4,1
alphabet city-fort greene,0,5,1
alphabet city-fort greene,19,5,1
alphabet city-garment district,7,0,1
alphabet city-garment district,9,0,1
alphabet city-garment district,9,1,1
alphabet city-garment district,19,1,1
alphabet city-garment district,22,1,1
alphabet city-garment district,2,2,1
alphabet city-garment district,6,2,1
alphabet city-garment district,9,2,1
alphabet city-garment district,10,2,1
alphabet city-garment district,20,2,1
alphabet city-garment district,5,3,1
alphabet city-garment district,7,3,1
alphabet city-garment district,8,3,1
alphabet city-garment district,9,3,1
alphabet city-garment district,11,3,1
alphabet city-garment district,18,3,1
alphabet city-garment district,22,3,2
alphabet city-garment district,1,4,1
alphabet city-garment district,6,4,1
alphabet city-garment district,8,4,1
alphabet city-garment district,10,4,1
alphabet city-garment district,14,4,1
alphabet city-garment district,15,4,2
alphabet city-garment district,21,4,2
alphabet city-garment district,10,5,1
