od,hora_do_dia,dia_da_semana,n_viagens
alphabet city-kips bay,8,1,1
alphabet city-kips bay,11,1,2
alphabet city-kips bay,7,2,1
alphabet city-kips bay,12,2,1
alphabet city-kips bay,21,2,3
alphabet city-kips bay,7,3,1
alphabet city-kips bay,8,3,1
alphabet city-kips bay,14,3,3
alphabet city-kips bay,16,3,1
alphabet city-kips bay,17,3,1
alphabet city-kips bay,22,3,1
alphabet city-kips bay,23,3,1
alphabet city-laguardia airport,2,0,1
alphabet city-laguardia airport,3,0,1
alphabet city-laguardia airport,17,0,1
alphabet city-laguardia airport,8,2,1
alphabet city-laguardia airport,5,3,1
alphabet city-laguardia airport,8,3,1
alphabet city-laguardia airport,15,3,1
alphabet city-laguardia airport,17,3,3
alphabet city-lenox hill east,3,0,1
alphabet city-lenox hill east,4,0,1
alphabet city-lenox hill east,8,0,1
alphabet city-lenox hill east,11,0,1
alphabet city-lenox hill east,14,0,1
alphabet city-lenox hill east,18,0,1
alphabet city-lenox hill east,21,0,1
alphabet city-lenox hill east,6,1,1
alphabet city-lenox hill east,13,1,2
alphabet city-lenox hill east,22,1,1
alphabet city-lenox hill east,6,2,1
alphabet city-lenox hill east,7,2,4
alphabet city-lenox hill east,8,2,1
alphabet city-lenox hill east,11,2,1
alphabet city-lenox hill east,7,3,1
alphabet city-lenox hill east,9,3,1
alphabet city-lenox hill east,23,3,1
alphabet city-lenox hill west,0,0,1
alphabet city-lenox hill west,1,0,3
alphabet city-lenox hill west,2,0,2
alphabet city-lenox hill west,7,0,1
alphabet city-lenox hill west,19,2,1
alphabet city-lenox hill west,20,2,1
alphabet city-lenox hill west,23,3,1
alphabet city-lincoln square east,12,0,1
alphabet city-lincoln square east,18,1,1
alphabet city-lincoln square east,0,2,1
alphabet city-lincoln square east,5,2,1
alphabet city-lincoln square east,2,3,1
alphabet city-lincoln square east,9,3,1
alphabet city-lincoln square west,0,0,2
alphabet city-lincoln square west,1,0,1
alphabet city-lincoln square west,8,2,1
alphabet city-lincoln square west,22,2,1
alphabet city-lincoln square west,17,3,1
alphabet city-lincoln square west,21,3,1
alphabet city-little italy/nolita,0,0,1
alphabet city-little italy/nolita,1,0,1
alphabet city-little italy/nolita,2,0,1
alphabet city-little italy/nolita,16,0,2
alphabet city-little italy/nolita,9,1,1
alphabet city-little italy/nolita,23,1,1
alphabet city-little italy/nolita,9,2,1
alphabet city-little italy/nolita,13,2,1
alphabet city-little italy/nolita,15,2,2
alphabet city-little italy/nolita,17,2,1
alphabet city-little italy/nolita,18,2,1
alphabet city-little italy/nolita,21,2,1
alphabet city-little italy/nolita,22,2,2
alphabet city-little italy/nolita,0,3,1
alphabet city-little italy/nolita,1,3,1
alphabet city-little italy/nolita,7,3,1
alphabet city-little italy/nolita,9,3,1
alphabet city-little italy/nolita,16,3,1
alphabet city-little italy/nolita,22,3,1
alphabet city-long island city/hunters point,0,0,1
alphabet city-long island city/hunters point,7,1,1
alphabet city-lower east side,1,0,1
alphabet city-lower east side,2,0,3
alphabet city-lower east side,5,0,1
alphabet city-lower east side,6,0,1
alphabet city-lower east side,10,0,1
alphabet city-lower east side,13,0,1
alphabet city-lower east side,15,0,1
alphabet city-lower east side,19,0,1
alphabet city-lower east side,1,1,1
alphabet city-lower east side,2,1,1
alphabet city-lower east side,7,1,1
alphabet city-lower east side,10,1,1
alphabet city-lower east side,14,1,1
alphabet city-lower east side,17,1,2
alphabet city-lower east side,19,1,2
alphabet city-lower east side,20,1,1
alphabet city-lower east side,21,1,1
alphabet city-lower east side,22,1,1
alphabet city-lower east side,0,2,1
alphabet city-lower east side,6,2,1
alphabet city-lower east side,11,2,1
alphabet city-lower east side,14,2,1
alphabet city-lower east side,15,2,1
alphabet city-lower east side,16,2,3
alphabet city-lower east side,18,2,1
alphabet city-lower east side,19,2,1
alphabet city-lower east side,22,2,1
alphabet city-lower east side,23,2,1
alphabet city-lower east side,1,3,1
alphabet city-lower east side,10,3,1
alphabet city-lower east side,14,3,1
alphabet city-lower east side,15,3,2
alphabet city-lower east side,16,3,1
alphabet city-lower east side,17,3,2
alphabet city-lower east side,19,3,2
alphabet city-lower east side,20,3,1
alphabet city-lower east side,22,3,4
alphabet city-lower east side,23,3,1
alphabet city-manhattan valley,2,0,1
alphabet city-manhattan valley,4,0,1
alphabet city-manhattan valley,7,0,1
alphabet city-manhattan valley,20,1,1
alphabet city-manhattan valley,21,1,1
alphabet city-manhattan valley,19,2,1
alphabet city-manhattanville,2,0,1
alphabet city-meatpacking/west village west,0,0,2
alphabet city-meatpacking/west village west,2,0,1
alphabet city-meatpacking/west village west,4,0,1
alphabet city-meatpacking/west village west,21,0,1
alphabet city-meatpacking/west village west,22,3,1
alphabet city-midtown center,1,0,1
alphabet city-midtown center,7,0,1
alphabet city-midtown center,11,0,1
alphabet city-midtown center,6,1,1
alphabet city-midtown center,8,1,2
alphabet city-midtown center,16,1,1
alphabet city-midtown center,7,2,3
alphabet city-midtown center,8,2,1
alphabet city-midtown center,9,2,1
alphabet city-midtown center,23,2,3
alphabet city-midtown center,0,3,1
alphabet city-midtown center,13,3,1
alphabet city-midtown center,21,3,1
alphabet city-midtown east,7,0,1
alphabet city-midtown east,12,0,1
alphabet city-midtown east,14,0,1
alphabet city-midtown east,16,0,1
alphabet city-midtown east,21,0,2
alphabet city-midtown east,23,0,1
alphabet city-midtown east,0,1,1
alphabet city-midtown east,8,1,1
alphabet city-midtown east,9,1,1
alphabet city-midtown east,20,1,1
alphabet city-midtown east,22,1,1
alphabet city-midtown east,7,2,2
alphabet city-midtown east,8,2,1
alphabet city-midtown east,1,3,1
alphabet city-midtown east,6,3,1
alphabet city-midtown east,7,3,1
alphabet city-midtown east,8,3,2
alphabet city-midtown east,10,3,1
alphabet city-midtown east,13,3,1
alphabet city-midtown east,19,3,1
alphabet city-midtown north,1,0,1
alphabet city-midtown north,2,0,1
alphabet city-midtown north,8,0,1
alphabet city-midtown north,2,1,1
alphabet city-midtown north,7,2,1
alphabet city-midtown north,8,2,1
alphabet city-midtown north,10,2,2
alphabet city-midtown north,12,3,1
alphabet city-midtown south,0,0,1
alphabet city-midtown south,2,0,1
alphabet city-midtown south,4,0,1
alphabet city-midtown south,8,0,2
alphabet city-midtown south,11,0,1
alphabet city-midtown south,6,1,1
alphabet city-midtown south,13,1,1
alphabet city-midtown south,21,1,1
alphabet city-midtown south,22,1,1
alphabet city-midtown south,8,2,1
alphabet city-midtown south,9,2,1
alphabet city-midtown south,14,2,1
alphabet city-midtown south,21,2,2
alphabet city-midtown south,23,2,1
alphabet city-midtown south,7,3,1
alphabet city-midtown south,8,3,1
alphabet city-midwood,4,0,1
alphabet city-morningside heights,1,0,1
alphabet city-morningside heights,8,2,1
alphabet city-morningside heights,9,2,1
alphabet city-morningside heights,11,2,1
alphabet city-morningside heights,22,2,1
alphabet city-morrisania/melrose,1,2,1
alphabet city-mott haven/port morris,17,1,1
alphabet city-mott haven/port morris,8,2,1
alphabet city-murray hill,1,0,1
alphabet city-murray hill,2,0,2
alphabet city-murray hill,6,0,1
alphabet city-murray hill,8,0,1
alphabet city-murray hill,10,0,2
alphabet city-murray hill,14,0,2
alphabet city-murray hill,15,0,1
alphabet city-murray hill,19,0,1
alphabet city-murray hill,1,1,1
alphabet city-murray hill,6,1,1
alphabet city-murray hill,8,1,2
alphabet city-murray hill,10,1,1
alphabet city-murray hill,18,1,1
alphabet city-murray hill,19,1,1
alphabet city-murray hill,5,2,1
alphabet city-murray hill,7,2,1
alphabet city-murray hill,8,2,2
alphabet city-murray hill,11,2,1
alphabet city-murray hill,14,2,1
alphabet city-murray hill,19,2,1
alphabet city-murray hill,21,2,1
alphabet city-murray hill,22,2,1
alphabet city-murray hill,8,3,2
alphabet city-murray hill,9,3,2
alphabet city-murray hill,19,3,1
alphabet city-murray hill,20,3,1
alphabet city-murray hill,21,3,1
alphabet city-old astoria,1,0,1
alphabet city-old astoria,2,0,1
alphabet city-ozone park,6,0,1
alphabet city-park slope,9,0,1
alphabet city-park slope,16,0,1
alphabet city-park slope,1,1,1
alphabet city-park slope,22,2,1
alphabet city-park slope,12,3,1
alphabet city-park slope,21,3,1
alphabet city-penn station/madison sq west,1,0,1
alphabet city-penn station/madison sq west,5,0,1
alphabet city-penn station/madison sq west,12,0,1
alphabet city-penn station/madison sq west,15,0,1
alphabet city-penn station/madison sq west,20,0,1
alphabet city-penn station/madison sq west,23,0,1
alphabet city-penn station/madison sq west,6,1,1
alphabet city-penn station/madison sq west,8,1,1
alphabet city-penn station/madison sq west,12,1,1
alphabet city-penn station/madison sq west,13,1,2
alphabet city-penn station/madison sq west,18,1,1
alphabet city-penn station/madison sq west,22,1,1
alphabet city-penn station/madison sq west,23,1,1
alphabet city-penn station/madison sq west,6,2,2
alphabet city-penn station/madison sq west,8,2,1
alphabet city-penn station/madison sq west,13,2,1
alphabet city-penn station/madison sq west,14,2,1
alphabet city-penn station/madison sq west,8,3,2
alphabet city-penn station/madison sq west,9,3,1
alphabet city-penn station/madison sq west,13,3,1
alphabet city-penn station/madison sq west,23,3,1
alphabet city-queens village,15,0,1
alphabet city-queens village,16,1,2
alphabet city-queensboro hill,19,3,1
alphabet city-red hook,8,2,1
alphabet city-rego park,9,2,1
alphabet city-seaport,1,0,1
alphabet city-seaport,3,0,1
alphabet city-seaport,4,0,1
alphabet city-seaport,15,0,1
alphabet city-seaport,2,1,1
alphabet city-seaport,9,1,1
alphabet city-seaport,13,1,1
alphabet city-seaport,0,2,1
alphabet city-seaport,9,3,1
alphabet city-seaport,16,3,1
alphabet city-seaport,21,3,1
alphabet city-soho,0,0,1
alphabet city-soho,1,0,1
alphabet city-soho,3,0,1
alphabet city-soho,8,0,1
alphabet city-soho,18,0,1
alphabet city-soho,20,0,1
alphabet city-soho,23,0,1
alphabet city-soho,0,1,1
alphabet city-soho,9,1,1
alphabet city-soho,10,1,6
alphabet city-soho,20,1,1
alphabet city-soho,22,1,1
alphabet city-soho,23,1,1
alphabet city-soho,7,2,1
alphabet city-soho,9,2,2
alphabet city-soho,10,2,3
alphabet city-soho,11,2,1
alphabet city-soho,19,2,1
alphabet city-soho,21,2,1
alphabet city-soho,7,3,1
alphabet city-soho,8,3,1
alphabet city-soho,9,3,1
alphabet city-soho,18,3,1
alphabet city-soho,20,3,1
alphabet city-steinway,21,2,1
alphabet city-steinway,13,3,1
alphabet city-stuy town/peter cooper village,1,0,1
alphabet city-stuy town/peter cooper village,19,0,1
alphabet city-stuy town/peter cooper village,7,1,1
alphabet city-stuy town/peter cooper village,8,1,1
alphabet city-stuy town/peter cooper village,13,1,1
