record_type,metric_table,run_section,metric_key,value,value_type,source_file,status,section_type,split,row_index,category,feature,real_prob,synth_prob,abs_diff
section_metric,metrics,strategy_val,dropoff_id_chi2,0.0036240544,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,od_jsd,0.013528526,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,od_chi2,37150.658811477,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,od_coverage_real,0.6656170441,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,od_coverage_synth,0.6039513678,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,od_unique_real,14926.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,od_unique_synth,16450.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,time_jsd,0.0002367035,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,time_chi2,0.0019448575,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,time_coverage_real,1.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,time_coverage_synth,1.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,time_unique_real,144.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,time_unique_synth,144.0,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
section_metric,metrics,strategy_val,joint_jsd,0.164714691,float,outputs/save_data/ryc/tht_tripgen_20260212_234749/metrics/metrics_tht_tripgen_val.json,ok,metric_json,,,,,,,
